,Title,Time,Type,Content
10,他當沖狂賺幾萬塊「想玩大一點」 交易金額提高300萬卻GG了,2021-07-06 17:57:00,udn 股市 台股雜談,台股今（6）日早盤指數一度登上「萬八」大關，再創歷史新高，而近年台股創高也引起許多投資客走上「當沖」之路，不過近日就有一位網友分享勸世文，以自己的慘痛經驗勸戒「免費的最貴」。  這名網友在Dcard發文表示幸運跟上大多頭及航運這波起飛，短短3個月賺了幾十萬，就開始拿翹了，便想要一鼓作氣賺個100萬，所以決定換方式「當沖」一下。剛開始轉玩「當沖」，他每次都以5千、1萬或2萬的金額在賺，但沒想到「嘗到甜頭才是悲劇的開始」，他把交易金額開到300萬，在玩當沖的過程中，他一路賠了至少30萬。  一時興起玩當沖的原PO把原本賺來的積蓄賠掉了不少，他無奈地說，「就是敗給一個『貪』字，賠了才欲哭無淚，短短5天時間就賠掉1個月的獲利」，也難怪為什麼老手都會說，當沖有賺就跑，因為人無法克制貪婪、眼前的利益。  他將辛酸過往分享給許多網友們，大家看了也不禁感嘆，「找好股放著做波段不好嗎？」、「還好吧，我3小時噴掉32萬多」、「無本真的不要當沖，股票市場只有長期能夠穩定獲利才是真的，遵守紀律停損、停利做好才是重點，寧願少賺也不要大賠」、「勸你沒辦法克制自己就還是別玩了，到時候玩到信用破產就麻煩了」。
11,原相、茂達、松翰三廠 Q2業績皆攀峰,2021-07-06 18:36:00,udn 股市 店頭未上市,IC設計廠原相（3227）、茂達（6138）與松翰（5471）於今（6）日公布6月業績，雖然都呈現月減，但單季業績仍都達歷史高點。  原相6月業績為8.07億元，月減8.4%，年增28.2%，不過第2季合併營收為25.49億元，季增13.5%，創單季新高，累計上半年合併營收為47.94億元，年增37%。  茂達6月合併營收為5.32億元，月減1.9%，年增22.8%，第2季合併營收為16.1億元，季增6.5%，創單季歷史新高，累計上半年合併營收為31.2億元，年增27.6%。  松翰6月合併營收為5.07億元，月減2.2%，年增11.7%，第2季合併營收為15.74億元，季增13.5%，符合法人預期，刷新單季紀錄，累計上半年合併營收為29.61億元，年增27.3%。
12,統一超小金雞 挹注動能,2021-07-07 00:27:00,udn 股市 上市公司,統一超（2912）持股70%的統一速達（黑貓宅急便），今年正式取得醫藥物流證照，客戶包括特定藥商、醫院、藥廠，配送產品有檢驗試劑、藥品等，為今年聚焦的業務之一，有望在今年疫情期間，再添一大成長動能。  統一超2000年成立轉投資事業統一速達，持股70%，近年獲利狀況不錯，以今年第1季獲利2.71億元來看，頗為亮眼，比去年同期年增16.8%，為近年歷史新高。統一超昨日股價收260元，上漲0.5元。  統一超董事長羅智先也在今年年報中提到，統一速達持續優化業務結構及提升物流效能，滿足電子商務發展及配送需求。為了因應今年疫情，消費者對於冷凍冷藏食品需求高，今年統一速達將聚焦低溫經營，推動宅轉店、醫藥物流等業務。  統一速達日前公告，今年1月黑貓宅急便的醫藥物流，通過食品藥物管理署（TFDA）西藥優良運銷規範（GDP）符合性查檢，在藥品供應鏈上，可提供醫藥配送服務。這也意味著，黑貓宅急便可運送的貨品，更為多元。  統一速達表示，會投入醫藥物流，已經籌備一、兩年，因為此領域對於溫控和濕度的要求較高，需有不同溫層，並非因為疫情而準備；目前醫藥物流的客戶有特定藥商、醫院、藥廠等，主要配送檢驗試劑、藥品等。  今年5月中因疫情大爆發的關係，民眾在家上網買東西，帶旺電商，同時也推升物流貨量和業績。
13,聚和4、5月獲利 每股賺0.45元,2021-07-07 00:27:00,udn 股市 店頭未上市,化工大廠聚和（6509）昨（6）日應櫃買中心指示，公告4、5月獲利合計為0.79億元，年增12.9%，每股稅後純益0.45元。該公司並指出，步入本季，客戶對於使用在疫苗、試劑和藥品的生物緩衝劑拉貨持續強勁，可挹注獲利表現。  聚和表示，旗下精密化學部門的主力品項生物緩衝劑，自去年下半年開始，在新冠肺炎疫情籠罩下，歐美地區藥廠客戶拉貨強勁，挹注出貨增加，以今年上半年來看，包括生產疫苗、試劑和藥品的客戶群普遍有急單湧進，激勵業績上攻。  其次，大陸當局正加緊推動新一波「新能源車下鄉」活動之際，其他國際車廠也相繼投入電動車市場，帶動電動車相關產業加速好轉。
14,中菲行6月業績 締新猷,2021-07-07 00:27:00,udn 股市 店頭未上市, 受惠於今年海、空運的運價維持高檔，需求量強勁，中菲行（5609）昨（6）日公告6月營收29.4億元，再創新高，年增率41.4%；累計上半年營收約152.9億，年增率38%，續寫同期新高紀錄。  中菲行6月營收29.4億元，寫下新高紀錄；其中，海運業務營收12.85億元，年增率高達130.7%，占比43.7%，顯示在貨櫃海運運價持續衝高之下，獲海運三雄長榮、陽明、萬海帶動，動能可望繼續衝高。另外空運業務營收15.44億元，年增10.4%，營收占比52.5%。  中菲行上半年營收約152.9億元，年成長38%，其中，海運營收居高不下，達到64.03億元，占整體營收比重也有41%，年增95.5%；空運業務營收82.38億元，營收占比53.9％，年增15%；至於積極推動的合同物流，營收為6.49億元，占4.2%，年增率1%。  中菲行5月稅後純益自結數為1.35億元，每股純益（EPS）達1.07元。  隨著全球貨運的運送價格高漲，中菲行的商業智慧科技（BIT）部門亦成為支援集團包括空運、海運及合同物流三個事業單位，朝向產品多元化、系統數位化、服務最佳化、操作優質化及管理效能化的最佳後盾。  中菲行表示，該公司的「增值訊息系統」（DimercoValue Plus System），以達虛實並進、服務客戶，成為客戶「移動智慧 - 物流服務夥伴」。
15,15檔績優生 領先攻高,2021-07-07 01:21:00,udn 股市 股市要聞,"台股昨（6）日盤中高點創高，市場交投增溫，個股挾勢表現，南電（8046）、長榮等各擁營運利多題材，持續吸引買盤敲進，帶動股價連日創下歷史收盤新高，吸引市場目光。  加權指數昨日盤中高點觸及18,008點，改寫歷史新高。法人指出，近期累積相當多的短線浮額，在指數創高挑戰萬八關卡出現調節賣壓不算壞事，經過清洗反有利行情向上。  短線觀察前日長紅棒低點，17,783點不跌破，指數就維持強勢。  指數持續醞釀行情之際，部分個股領先指數創高，總計昨日在集中市場中，有15檔個股收盤價寫歷史新高；其中，新產、南電、裕融、新唐、健和興、陽明、長榮連二日創高，中再保、聚鼎、騰輝電子-KY連三日創高，鑫永銓連四日創高。  以漲幅表現觀之，中再保、聚鼎、景碩、陽明本周以來吸金力居高不墜，漲幅皆突破雙位數，介於20%~13%不等，大幅超越加權指數本周以來漲1%的表現。  結束處置的航運股陽明領軍貨櫃三雄，航運類股再度吸納將近半數資金，排擠電子股表現；不過，部分電子次族群仍有所表現，南電、景碩、騰輝電子-KY等載板、印刷電路板相關供應鏈最為活躍，其他如新唐等IC股，智邦等網通股也為多方青睞，同樣居創高股行列中。  觀察盤面資金動向，法人分析，近期航運類股占台股成交量逾三成，然電子族群已逐漸受到買方青睞，這是一個良性的資金輪動現象，而隨時序進入傳產及電子產業旺季，緊接而來的股東會、法說會陸續登場，可望釋出正面訊息，惟留意指數已接近萬八，建議以高檔震盪的觀點看待盤勢。"
16,台股閃見萬八 軋空蓄勢待發,2021-07-07 01:26:00,udn 股市 股市要聞,"  台股昨（6）日早盤在半導體領漲、航海王揚帆下，指數閃見萬八，一度衝上18,008點，再創歷史新高，但隨後買盤縮手，指數以小跌作收。法人指出，隨台股進入除權息旺季，配合大盤「資增券減」，軋空行情蓄勢待發，有利行情續寫新猷。  美股5日因獨立紀念日休市，台股昨日延續前一天的氣勢，一開盤就衝破萬八、達18,008點空前高點，之後在高檔震盪盤軟下，加權指數終場小跌6點、收17,913點，力守在5日均線之上，上市櫃總成交量為6,929億元，其中上市為6,067億元。   台股昨日開盤由半導體股帶頭上攻，但隨後追價買盤急速縮手，雖然市場賣壓並不強烈，指數仍壓回整理。資金簇擁標的也由電子股轉向傳產股，特別是運輸股，帶動運輸股盤中成交占比一度衝上55%、創歷史新高，成交金額前四大都是運輸股，持續為市場的人氣指標。  運輸股昨日終場占大盤的成交比重仍高達48.1%，遠高於電子股的32.7%。其中，單是長榮（2603）的成交金額就高達1,188.6億元，占大盤成交金額的近兩成（19.5%），終場股價漲7元，收224元；成交第二名為陽明，金額達897億元，股價漲19.5元，收在漲停價216.5元；第三名是萬海的418億元；第四是台驊投控的121.9億元。  長榮與陽明的股價、市值都創歷史新高。在台股前十大權值股中，航運股已占兩名。  其中，長榮位居第四，市值在6月30日站上1兆元後，昨日更推升至1.18兆元；陽明則由前一日的第14名一舉擠進第十大，超越萬海、聯電、台塑、南亞，市值達7,213億元，一個月來市值大增近九成。  三大法人昨日合計賣超32.8億元，其中外資買超1.2億元，為連二買；自營商賣超31.1億元，由買轉賣；投信賣超2.9億元，為連五賣。至於八大公股行庫，則買超13.9億元，由賣轉買。  法人指出，就台股後市來看，儘管指數閃見萬八，市場逐漸醞釀居高思維的氣氛，不過隨台股除權息大戲到來，配合籌碼面的資券變化呈現「資增券減」，催動年度軋空大戲陸續上演，台股後市仍有高點可期。    "
17,台積長線股價 外資喊千元,2021-07-07 03:36:00,udn 股市 股市要聞,外電報導，英特爾將包下台積電（2330）3奈米產能，外資摩根大通、華興資本及瑞士信貸昨（6）日不約而同指出，台積電先進製程壯大，已成國際晶片大廠必要的合作夥伴，隨高速運算需求提升，台積電5奈米放量將高於預期，3奈米還會超越5奈米成主流製程；重申台積電長線股價挑戰千元大關。  台積電法說會前夕，外資圈再度唱旺，炒熱市場話題。摩根大通對台積電重申780元目標價，華興資本875元，瑞信則認為，台積電產能逐步擴大，未來三、五年股價邁向750-930元無虞。  摩根大通科技產業研究部主管哈戈谷表示，市場傳出英特爾將包下產能成為台積電3奈米最大客戶，無疑是台積電的好消息。事實上，蘋果規劃2022年iPad率先採用3奈米，但iPhone 14使用4奈米，便隱含英特爾可能超越蘋果成為3奈米大客戶，超微晶片加速放量，會是3奈米第三大客戶。  哈戈谷指出，不論台積電的客戶如何調整，都凸顯3奈米是下一個市場競搶的重要製程。英特爾、蘋果和超微加速布局，3奈米放量的速度預期超越5和7奈米，2022年占營收比重將上看兩成。  華興資本進一步表示，台積電投入EUV的力道擴大，帶動下半年5奈米營運隨運算需求的提升，有更顯著的成長空間，此一成功經驗已在去年下半年驗證，台積電透過EUV加速5奈米放量。此經驗可望再應用到3奈米，接棒成為台積電最重要的製程。  華興資本指出，雖然IBM號稱進展到2奈米，但效能不及台積電3奈米，三星刻意在3奈米使用GAA，更導致電晶體密度遠不及台積電3奈米，英特爾在別無選擇下，顯然必須和台積電合作，台積電也會因為英特爾的外包而加速3奈米發展。  瑞士信貸認為台積電新CSR報告書更加重視永續經營的核心原則，配合製程技術不斷精進，投資人將持續提高對台積電的評價。
18,外資首喊3字頭！小摩上修長榮目標價至305元,2021-07-07 09:21:00,udn 股市 股市要聞,摩根大通5月底才把長榮（2603）目標價推升至131元，隨即碰上運價飆漲，長榮股價一舉衝破200元大關。該券商7日進一步更新報告指出，由於貨櫃業迎接旺季，運輸需求能見度直達年底，不論歐亞美洲主要航線都預期續漲甚至超漲，長榮獲利可望再提升，今、明年EPS預估挑戰29元、20元，目標價一口氣喊上「3字頭」305元。  摩根大通也是首家將台灣航運股目標價推至3字頭的券商，再寫外資圈對航運股的新天價。  報告主要針對近來航運股瘋漲，許多投資人詢問究竟要「下車」還是「抱股」？而其大幅拉升航運股的動作，清楚告訴投資人這波漲勢還沒完！  摩根大通表示，近期國際運價持續飛揚，亞洲航運股漲勢超乎預期，如長榮短線急漲330%，中海遠運、東方海外也大漲，一些投資人因此想要「下車」，但從全球運力供需來看，依舊沒有達到滿足，且第3季旺季更會增加需求，主要航線絕對還會漲。  摩根大通指出，運力不足來自一連串的因素造成，在原有缺櫃、缺工的問題外，蘇伊士運河、美國洛杉磯、歐洲乃至鹽田港相繼塞港，更加加劇短缺挑戰，最近一次的鹽田港事件還導致鄰近港口壅塞，難以快速解決。因此可預期下半年的運價續漲，能見度看好到2022年，特別是長程的歐亞、泛太平洋線更有上漲壓力。  原先摩根大通對今年上海出口集裝箱運價指數（SCFI）中的美、歐、亞洲線預估漲30%、90%、40%，其他線上漲50%，現大幅上修到60%、280%、40%及50%。而到2日為止，SCFI年漲幅達到142%。  此外，摩根大通指表示，部分航商不滿足於運價，陸續調高附加費，也支持運價走強。需求面來看，目前拉貨主要滿足返校季和年底消費需求，因通路在手庫存普遍不足，Drewry's預測，此波需求可延續到年底，3、4季對於貨櫃運輸的需要會逐步增加。  報告大幅上修長榮、中海遠運及東方海外的財測，長榮部分尤其看好受惠歐亞線及泛太平洋線上漲，以2021-2022年滾動的淨值／EBITDA搭配8倍乘數，推算合理目標價305元。
19,陽明5月日賺3.39億 早盤飆天價、成交量居個股之冠,2021-07-07 09:50:00,udn 股市 股市要聞, 陽明（2609）5月自結稅後純益105.23億元，平均每天獲利3.39億，單月每股純益3.15元，法人預估陽明6月營收可望月增兩成，今（7）日股價開高走高，一度拉升至234.5元，再創歷史天價，開盤30分鐘，成交量逾15.6萬張，居個股成交量之冠。  陽明5月獲利亮眼，每股純益創下新高，根據證交所公告的陽明自結獲利，加計4月自結每股純益2.66元，陽明今年累計前五月每股純益已達13.3元。  法人看好陽明6月營收在海運市況佳，及運價從6月起大幅上揚，各類附加費逐項加徵下，可望較5月成長兩成，法人預估陽明第2季獲利可望優於預期，每股純益上看9元，第3季單季挑戰獲利超過1個股本，上看11元，挑戰12元。  陽明解禁後股價續揚，今日以222元開高後一度拉升至234.5元，再創歷史新高，漲幅達8.3%，盤中漲幅略有下滑仍超過半根停板，成交量居個股之冠。
